ID,Name,Date,Year,Month,Day,Time,Status,Latitude,Longitude,Maximum.Wind,Minimum.Pressure,Decade
AL091888,UNNAMED,1888-11-23,1888,November,23,1200,Cat. 2,30.5,-74.7,85,NA,Other
AL081888,UNNAMED,1888-11-02,1888,November,2,0,TS,15.5,-61.2,35,NA,Other
AL081888,UNNAMED,1888-11-02,1888,November,2,1200,TS,17.5,-61.3,40,NA,Other
AL071888,UNNAMED,1888-10-11,1888,October,11,600,Cat. 1,30.5,-81.3,70,NA,Other
AL041888,UNNAMED,1888-09-05,1888,September,5,1200,Cat. 1,22.5,-83.7,70,NA,Other
AL061888,UNNAMED,1888-09-24,1888,September,24,1800,TS,29.5,-78.2,45,NA,Other
AL061888,UNNAMED,1888-09-23,1888,September,23,1800,TS,25.5,-80.2,35,NA,Other
AL041888,UNNAMED,1888-09-04,1888,September,4,0,Cat. 3,22.5,-77,110,NA,Other
AL051888,UNNAMED,1888-09-06,1888,September,6,600,TS,23.5,-71.7,35,NA,Other
AL041888,UNNAMED,1888-08-31,1888,August,31,600,Cat. 1,19.5,-61.3,65,NA,Other
AL091888,UNNAMED,1888-11-21,1888,November,21,600,Cat. 1,27.5,-68,70,NA,Other
AL041888,UNNAMED,1888-09-01,1888,September,1,0,Cat. 1,20.5,-64.9,75,NA,Other
AL091888,UNNAMED,1888-11-19,1888,November,19,1200,TS,25.5,-62.6,60,NA,Other
AL081888,UNNAMED,1888-11-04,1888,November,4,600,TS,23.5,-60.2,45,NA,Other
AL081888,UNNAMED,1888-11-04,1888,November,4,1200,TS,24.5,-59.7,50,NA,Other
AL081888,UNNAMED,1888-11-04,1888,November,4,1800,TS,25.5,-58.8,50,NA,Other
AL091889,UNNAMED,1889-10-05,1889,October,5,1200,TD,21.5,-82,30,NA,Other
AL061889,UNNAMED,1889-09-18,1889,September,18,0,Cat. 2,19.5,-87.7,90,NA,Other
AL061889,UNNAMED,1889-09-18,1889,September,18,600,Cat. 1,19.5,-88.6,75,NA,Other
AL061889,UNNAMED,1889-09-16,1889,September,16,1800,TS,18.5,-82.7,60,NA,Other
AL031889,UNNAMED,1889-08-23,1889,August,23,0,TS,24.5,-74.4,60,NA,Other
AL011889,UNNAMED,1889-05-18,1889,May,18,600,TS,24.5,-69.5,50,NA,Other
AL041889,UNNAMED,1889-09-04,1889,September,4,1200,Cat. 2,20.5,-67.5,90,NA,Other
AL011889,UNNAMED,1889-05-16,1889,May,16,600,TS,21.5,-64.1,35,NA,Other
AL011889,UNNAMED,1889-05-20,1889,May,20,0,TS,30.5,-75.5,55,NA,Other
AL051889,UNNAMED,1889-09-06,1889,September,6,1800,TS,27.5,-57.9,50,NA,Other
AL041890,UNNAMED,1890-10-31,1890,October,31,1200,Cat. 1,14.5,-82.3,80,NA,Other
AL031890,UNNAMED,1890-08-30,1890,August,30,1200,Cat. 2,30.5,-69.2,85,NA,Other
AL021890,UNNAMED,1890-08-25,1890,August,25,1200,TS,21.5,-86.7,50,NA,Other
AL011890,UNNAMED,1890-05-28,1890,May,28,1800,TS,23.5,-84.2,40,NA,Other
AL021890,UNNAMED,1890-08-23,1890,August,23,1200,TS,17.5,-80,45,NA,Other
AL021890,UNNAMED,1890-08-22,1890,August,22,1200,TS,16.5,-76.5,40,NA,Other
AL021890,UNNAMED,1890-08-21,1890,August,21,0,TS,15.5,-70.9,40,NA,Other
AL021890,UNNAMED,1890-08-19,1890,August,19,600,TS,14.5,-64.4,40,NA,Other
AL011890,UNNAMED,1890-05-27,1890,May,27,1200,TD,20.5,-83,30,NA,Other
AL091891,UNNAMED,1891-10-12,1891,October,12,1200,TS,12.5,-61.3,35,NA,Other
AL081891,UNNAMED,1891-10-09,1891,October,9,0,TS,21.5,-84,35,NA,Other
AL081891,UNNAMED,1891-10-09,1891,October,9,600,TS,22.5,-83.7,40,NA,Other
AL081891,UNNAMED,1891-10-09,1891,October,9,1800,TS,25.5,-82.8,35,NA,Other
AL081891,UNNAMED,1891-10-08,1891,October,8,600,TS,19.5,-85,35,NA,Other
AL081891,UNNAMED,1891-10-07,1891,October,7,1800,TD,18.5,-85,30,NA,Other
AL071891,UNNAMED,1891-10-06,1891,October,6,1200,TS,21.5,-82.5,45,NA,Other
